season,year,medal,country_code,country,athletes,games,sport,event_gender,event_name,year_date,decade,is_team,medal_points,host_city,is_team_event,medal_count_country,medal_count_sport,avg_medal_event,medal_encoded
0,1896,Gold,GER,53,"Alfred FLATOW, Georg HILMAR, Karl NEUKIRCH, Gustav SCHUFT, Hermann WEINGÄRTNER, Fritz HOFMANN, Gustav Felix FLATOW, Fritz MANTEUFFEL, Richard RÖSTEL, Carl SCHUMANN, Konrad BÖCKER",1896 Athens,35,0,693,1896-01-01,1890,True,3.0,4,False,918,1018,3.0,1
0,1896,Gold,GER,53,Alfred FLATOW,1896 Athens,35,0,643,1896-01-01,1890,False,3.0,4,False,918,1018,1.9615384615384615,1
0,1896,Silver,SUI,140,Louis ZUTTER,1896 Athens,35,0,643,1896-01-01,1890,False,2.0,4,False,369,1018,1.9615384615384615,2
0,1896,Gold,GER,53,Hermann WEINGÄRTNER,1896 Athens,35,0,599,1896-01-01,1890,False,3.0,4,False,918,1018,2.0126582278481013,1
0,1896,Silver,GER,53,Alfred FLATOW,1896 Athens,35,0,599,1896-01-01,1890,False,2.0,4,False,918,1018,2.0126582278481013,2
0,1896,Gold,GER,53,Carl SCHUMANN,1896 Athens,35,0,708,1896-01-01,1890,False,3.0,4,False,918,1018,2.022222222222222,1
0,1896,Silver,SUI,140,Louis ZUTTER,1896 Athens,35,0,708,1896-01-01,1890,False,2.0,4,False,369,1018,2.022222222222222,2
0,1896,Bronze,GER,53,Hermann WEINGÄRTNER,1896 Athens,35,0,708,1896-01-01,1890,False,1.0,4,False,918,1018,2.022222222222222,0
0,1896,Gold,GRE,56,Ioannis MITROPOULOS,1896 Athens,35,0,656,1896-01-01,1890,False,3.0,4,False,125,1018,1.9873417721518987,1
0,1896,Silver,GER,53,Hermann WEINGÄRTNER,1896 Athens,35,0,656,1896-01-01,1890,False,2.0,4,False,918,1018,1.9873417721518987,2
0,1896,Bronze,GRE,56,Petros PERSAKIS,1896 Athens,35,0,656,1896-01-01,1890,False,1.0,4,False,125,1018,1.9873417721518987,0
0,1896,Gold,SUI,140,Louis ZUTTER,1896 Athens,35,0,651,1896-01-01,1890,False,3.0,4,False,369,1018,2.1333333333333333,1
0,1896,Silver,GER,53,Hermann WEINGÄRTNER,1896 Athens,35,0,651,1896-01-01,1890,False,2.0,4,False,918,1018,2.1333333333333333,2
0,1896,Gold,GRE,56,Nicolaos ANDRIAKOPOULOS,1896 Athens,35,0,657,1896-01-01,1890,False,3.0,4,False,125,1018,1.9230769230769231,1
0,1896,Silver,GRE,56,Thomasios XENAKIS,1896 Athens,35,0,657,1896-01-01,1890,False,2.0,4,False,125,1018,1.9230769230769231,2
0,1896,Bronze,GER,53,Fritz HOFMANN,1896 Athens,35,0,657,1896-01-01,1890,False,1.0,4,False,918,1018,1.9230769230769231,0
0,1896,Gold,USA,158,John PAINE,1896 Athens,54,0,148,1896-01-01,1890,False,3.0,4,False,2975,862,2.0,1
0,1896,Silver,USA,158,Sumner PAINE,1896 Athens,54,0,148,1896-01-01,1890,False,2.0,4,False,2975,862,2.0,2
0,1896,Bronze,GRE,56,Nikolaos MORAKIS,1896 Athens,54,0,148,1896-01-01,1890,False,1.0,4,False,125,862,2.0,0
0,1896,Gold,GRE,56,Joannis PHRANGOUDIS,1896 Athens,54,0,150,1896-01-01,1890,False,3.0,4,False,125,862,2.0,1
0,1896,Silver,GRE,56,Georgios ORPHANIDIS,1896 Athens,54,0,150,1896-01-01,1890,False,2.0,4,False,125,862,2.0,2
0,1896,Bronze,DEN,37,Holger NIELSEN,1896 Athens,54,0,150,1896-01-01,1890,False,1.0,4,False,204,862,2.0,0
0,1896,Gold,USA,158,Sumner PAINE,1896 Athens,54,0,230,1896-01-01,1890,False,3.0,4,False,2975,862,2.0,1
0,1896,Silver,DEN,37,Holger NIELSEN,1896 Athens,54,0,230,1896-01-01,1890,False,2.0,4,False,204,862,2.0,2
0,1896,Bronze,GRE,56,Joannis PHRANGOUDIS,1896 Athens,54,0,230,1896-01-01,1890,False,1.0,4,False,125,862,2.0,0
0,1896,Gold,GRE,56,Pantelis KARASEVDAS,1896 Athens,54,0,516,1896-01-01,1890,False,3.0,4,False,125,862,2.0,1
0,1896,Silver,GRE,56,Pavlos PAVLIDIS,1896 Athens,54,0,516,1896-01-01,1890,False,2.0,4,False,125,862,2.0,2
0,1896,Bronze,GRE,56,Nicolaos TRIKUPIS,1896 Athens,54,0,516,1896-01-01,1890,False,1.0,4,False,125,862,2.0,0
0,1896,Gold,GRE,56,Georgios ORPHANIDIS,1896 Athens,54,0,517,1896-01-01,1890,False,3.0,4,False,125,862,2.0,1
0,1896,Silver,GRE,56,Joannis PHRANGOUDIS,1896 Athens,54,0,517,1896-01-01,1890,False,2.0,4,False,125,862,2.0,2
0,1896,Bronze,DEN,37,Viggo JENSEN,1896 Athens,54,0,517,1896-01-01,1890,False,1.0,4,False,204,862,2.0,0
0,1896,Gold,HUN,63,Alfred HAJOS,1896 Athens,64,0,80,1896-01-01,1890,False,3.0,4,False,520,1760,2.0063694267515926,1
